run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	library_name	library_strategy	library_selection	read_count	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	submitted_bytes	submitted_ftp	broker_name	sample_title
ERR15941757	PRJEB88111	ERP171251	SAMEA120581447	ERX15337302	ERA35261383	562	Escherichia coli		WGS	RANDOM	150593	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035974_100_SI_DTU_82A_SE	webin-reads-DTU_2024_1035974_100_SI_DTU_82A_SE	9ca99cf73d2781ec91e14c6c31cfb96c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/057/ERR15941757/ERR15941757.fastq.gz	885568592	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15941757/DTU_2024_1035974_100_SI_DTU_82A_SE.fq.gz	DTU-GE	DTU_2024_1035974_100_SI_DTU_82A_SE
ERR15942123	PRJEB88111	ERP171251	SAMEA120581457	ERX15337668	ERA35261756	1502	Clostridium perfringens		WGS	RANDOM	176084	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035984_100_SI_CP_27B_SE	webin-reads-DTU_2024_1035984_100_SI_CP_27B_SE	8f535c6003af1f465fbfc8ac3fa6dd4a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/023/ERR15942123/ERR15942123.fastq.gz	926368524	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15942123/DTU_2024_1035984_100_SI_CP_27B_SE.fq.gz	DTU-GE	DTU_2024_1035984_100_SI_CP_27B_SE
ERR15942148	PRJEB88111	ERP171251	SAMEA120581455	ERX15337693	ERA35261786	1502	Clostridium perfringens		WGS	RANDOM	323607	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035982_100_SI_CP_15B_SE	webin-reads-DTU_2024_1035982_100_SI_CP_15B_SE	fa24f3e13a7dfa74b3137636abc2dfbb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/048/ERR15942148/ERR15942148.fastq.gz	1436030107	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15942148/DTU_2024_1035982_100_SI_CP_15B_SE.fq.gz	DTU-GE	DTU_2024_1035982_100_SI_CP_15B_SE
ERR15942171	PRJEB88111	ERP171251	SAMEA120581435	ERX15337716	ERA35261809	562	Escherichia coli		WGS	RANDOM	228024	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035962_100_SI_LVK_97_SE	webin-reads-DTU_2024_1035962_100_SI_LVK_97_SE	55a0a4f04fa329260f5a24c3115869b9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/071/ERR15942171/ERR15942171.fastq.gz	1035831337	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15942171/DTU_2024_1035962_100_SI_LVK_97_SE.fq.gz	DTU-GE	DTU_2024_1035962_100_SI_LVK_97_SE
ERR15942185	PRJEB88111	ERP171251	SAMEA120581466	ERX15337730	ERA35261823	1502	Clostridium perfringens		WGS	RANDOM	378438	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035993_100_SI_CP_68B_SE	webin-reads-DTU_2024_1035993_100_SI_CP_68B_SE	4e79f5761d4651940fdccbda41c21500	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/085/ERR15942185/ERR15942185.fastq.gz	1463546660	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15942185/DTU_2024_1035993_100_SI_CP_68B_SE.fq.gz	DTU-GE	DTU_2024_1035993_100_SI_CP_68B_SE
ERR15942227	PRJEB88111	ERP171251	SAMEA120581464	ERX15337772	ERA35261865	1502	Clostridium perfringens		WGS	RANDOM	233642	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035991_100_SI_CP_60B_SE	webin-reads-DTU_2024_1035991_100_SI_CP_60B_SE	88c028afeb6ee97d49af604f8dba8213	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/027/ERR15942227/ERR15942227.fastq.gz	1021213796	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15942227/DTU_2024_1035991_100_SI_CP_60B_SE.fq.gz	DTU-GE	DTU_2024_1035991_100_SI_CP_60B_SE
ERR15942241	PRJEB88111	ERP171251	SAMEA120581445	ERX15337786	ERA35261879	562	Escherichia coli		WGS	RANDOM	176455	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1035972_100_SI_DTU_79A_SE	webin-reads-DTU_2024_1035972_100_SI_DTU_79A_SE	614c9802bd67237c3e0044201c1912f9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/041/ERR15942241/ERR15942241.fastq.gz	1019967975	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15942241/DTU_2024_1035972_100_SI_DTU_79A_SE.fq.gz	DTU-GE	DTU_2024_1035972_100_SI_DTU_79A_SE
ERR15909852	PRJEB88111	ERP171251	SAMEA120577469	ERX15305626	ERA35258652	9823	Sus scrofa		WGS	RANDOM	94478	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036882_101_MG_LVK_42_SE	webin-reads-DTU_2025_1036882_101_MG_LVK_42_SE	b4ddfda8dbc838af613bc54418a1e8b2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/052/ERR15909852/ERR15909852.fastq.gz	182569232	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909852/DTU_2025_1036882_101_MG_LVK_42_SE.fq.gz	DTU-GE	DTU_2025_1036882_101_MG_LVK_42_SE
ERR15909853	PRJEB88111	ERP171251	SAMEA120577472	ERX15305627	ERA35258653	9823	Sus scrofa		WGS	RANDOM	64698	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036896_101_MG_LVK_94_SE	webin-reads-DTU_2025_1036896_101_MG_LVK_94_SE	7537eb4d0aee1f48a412d9d6d961d97b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/053/ERR15909853/ERR15909853.fastq.gz	113619039	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909853/DTU_2025_1036896_101_MG_LVK_94_SE.fq.gz	DTU-GE	DTU_2025_1036896_101_MG_LVK_94_SE
ERR15909856	PRJEB88111	ERP171251	SAMEA120577466	ERX15305630	ERA35258656	9823	Sus scrofa		WGS	RANDOM	103201	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036884_102_MG_LVK_48_SE	webin-reads-DTU_2025_1036884_102_MG_LVK_48_SE	0bbf136640f3f82e845ac341873ee61b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/056/ERR15909856/ERR15909856.fastq.gz	173879667	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909856/DTU_2025_1036884_102_MG_LVK_48_SE.fq.gz	DTU-GE	DTU_2025_1036884_102_MG_LVK_48_SE
